sha256,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,,,,,,,,,,,,,,,,,,,,,,
c626626554cab357086defacab2f15497cee3adc715518469ec38ecadf81ff14,0,LdrUnloadDll,LoadStringW,NtOpenKey,NtUnmapViewOfSection,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrLoadDll,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ab30d33633d0259559452d65e69762b189c9006d3b31f1f93ba6f92c590ead3,0,LdrUnloadDll,NtOpenSection,GetForegroundWindow,NtQueryKey,DrawTextExW,LdrGetProcedureAddress,NtClose,GetFileAttributesW,NtFreeVirtualMemory,GetSystemMetrics,SizeofResource,CreateActCtxW,SetErrorMode,NtAllocateVirtualMemory,NtMapViewOfSection,GetKeyState,NtOpenFile,GetSystemDirectoryW,CoCreateInstance,NtUnmapViewOfSection,LoadStringW,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,NtCreateMutant,CoInitializeEx,GetTempPathW,NtCreateSection,LdrGetDllHandle,NtOpenKey,NtOpenMutant,LoadResource,FindResourceW,NtOpenKeyEx,LdrLoadDll,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09f3023554be864f31d80f2e7e7c7e824d79a69ddf84f1f02a433e85e866282c,0,LdrUnloadDll,NtOpenSection,RegCloseKey,NtQueryKey,DrawTextExW,FindResourceW,NtClose,GetForegroundWindow,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetSystemMetrics,SizeofResource,CreateActCtxW,RegOpenKeyExW,SetErrorMode,NtAllocateVirtualMemory,LdrGetDllHandle,GetKeyState,GetCursorPos,NtOpenFile,GetSystemDirectoryW,NtUnmapViewOfSection,LoadStringW,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,CoInitializeEx,NtCreateSection,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,NtOpenKeyEx,LdrLoadDll,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79388de9271b793798aeb38512c8ef7f621e94f473a5381d7ea5c71d4b09387,0,GetNativeSystemInfo,NtOpenSection,CoUninitialize,RegCloseKey,NtQueryKey,NtDuplicateObject,DrawTextExW,GetSystemInfo,NtCreateKey,DeviceIoControl,FindWindowW,NtSetValueKey,GetSystemWindowsDirectoryW,NtQueryValueKey,GlobalMemoryStatusEx,NtOpenProcess,GetForegroundWindow,GetFileAttributesW,RegQueryValueExW,NtFreeVirtualMemory,GetVolumePathNamesForVolumeNameW,GetSystemMetrics,NtMapViewOfSection,SizeofResource,CreateActCtxW,RegEnumKeyW,NtDelayExecution,SetErrorMode,NtOpenMutant,NtReadFile,CreateDirectoryW,NtWriteFile,LdrGetDllHandle,NtSetInformationFile,GetKeyState,LdrUnloadDll,NtQuerySystemInformation,NtEnumerateValueKey,NtAllocateVirtualMemory,NtOpenFile,GetFileSizeEx,CreateThread,GetSystemDirectoryW,CoCreateInstance,NtUnmapViewOfSection,NtQueryDirectoryFile,LoadStringW,FindResourceExW,GetCursorPos,NtCreateFile,GetVolumeNameForVolumeMountPointW,GetSystemTimeAsFileTime,FindResourceW,NtCreateSection,NtQueryAttributesFile,RegOpenKeyExW,NtCreateMutant,CoInitializeEx,GetFileInformationByHandleEx,GetTempPathW,SetUnhandledExceptionFilter,NtOpenKey,SearchPathW,LoadResource,LdrGetProcedureAddress,SetWindowsHookExW,SHGetSpecialFolderLocation,NtOpenKeyEx,LdrLoadDll,LookupPrivilegeValueW,OleInitialize,NtQueryInformationFile,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0dd75b2bffa12cc633d2d38fc766a6675cb86fb517f52e3fca8a4ccbc2d574d,0,LdrUnloadDll,NtOpenSection,NtQueryKey,NtTerminateProcess,NtQueryValueKey,NtMapViewOfSection,ShellExecuteExW,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtOpenFile,NtUnmapViewOfSection,NtCreateFile,GetSystemTimeAsFileTime,NtQueryAttributesFile,NtCreateMutant,NtProtectVirtualMemory,NtCreateSection,NtOpenKey,LdrGetProcedureAddress,NtOpenKeyEx,LdrLoadDll,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fa4912eb43fc304652d7b01f118589259861e2d628fa7c86193e54d5f987670,0,NtQueryValueKey,LdrUnloadDll,NtOpenKey,LdrGetProcedureAddress,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b22797ded44a0560e99f2eb65e136487d920625aaff54883046c8008d2ee788d,0,LdrUnloadDll,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,GetSystemTimeAsFileTime,LdrGetDllHandle,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6721f830675adc7e7fde2b5e822e56f6a063146f5066f1e25ebfe86f0a87136,0,LdrUnloadDll,CoUninitialize,NtSetInformationFile,NtTerminateProcess,NtQueryValueKey,NtResumeThread,NtAllocateVirtualMemory,CreateDirectoryW,NtWriteFile,LdrGetDllHandle,NtFreeVirtualMemory,NtQuerySystemInformation,NtReadFile,NtUnmapViewOfSection,GetSystemDirectoryW,SetUnhandledExceptionFilter,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,RtlCreateUserThread,CoInitializeEx,NtOpenKey,GetDiskFreeSpaceExW,NtClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981e9aa47cd71566d471cbb87c6287dbe51c637401596a94fe5f2574ece39335,0,NtOpenSection,GetForegroundWindow,WSARecv,GetFileVersionInfoSizeW,GetAdaptersAddresses,GetFileAttributesW,RegEnumKeyExA,RegOpenKeyExW,NtDelayExecution,SetErrorMode,RegOpenKeyExA,GetCursorPos,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,LoadResource,SetFileAttributesW,NtQueryInformationFile,RegCreateKeyExW,NtOpenMutant,RegQueryValueExA,EnumWindows,OpenServiceW,NtQueryValueKey,getsockname,RegQueryValueExW,CreateActCtxW,WSASend,NtDeviceIoControlFile,NtReadFile,NtWriteFile,LdrGetDllHandle,NtQuerySystemInformation,NtSetValueKey,CreateThread,GetSystemDirectoryW,LoadStringW,DecryptMessage,setsockopt,SetUnhandledExceptionFilter,LdrGetProcedureAddress,NtOpenThread,NtOpenDirectoryObject,LdrLoadDll,UuidCreate,EncryptMessage,CreateToolhelp32Snapshot,CoUninitialize,RegCloseKey,GetBestInterfaceEx,GetNativeSystemInfo,NtSetInformationFile,WSAStartup,NtTerminateProcess,CryptCreateHash,GetSystemMetrics,NtCreateThreadEx,DrawTextExW,NtAllocateVirtualMemory,ReadProcessMemory,CreateDirectoryW,DeleteFileW,SHGetFolderPathW,GetComputerNameW,NtResumeThread,CryptAcquireContextA,CoInitializeEx,CoCreateInstance,RegEnumKeyExW,CryptAcquireContextW,CryptDecodeObjectEx,GetComputerNameA,FindFirstFileExW,RegEnumValueW,GetTempPathW,GetKeyboardState,SearchPathW,WSASocketW,NtDuplicateObject,GetShortPathNameW,GetSystemInfo,GetSystemWindowsDirectoryW,NtClose,CryptHashData,NtOpenProcess,NtCreateSection,NtMapViewOfSection,Module32FirstW,SizeofResource,NtFreeVirtualMemory,LdrUnloadDll,CertOpenStore,NtOpenFile,RegQueryInfoKeyW,NtUnmapViewOfSection,NtQueryDirectoryFile,Module32NextW,NtQueryAttributesFile,NtCreateMutant,GetAddrInfoW,bind,NtOpenKey,OpenSCManagerW,FindResourceW,CertControlStore,GetFileVersionInfoW,NtQueryKey,NtEnumerateValueKey,NtProtectVirtualMemory,GlobalMemoryStatus,WriteConsoleA,NtEnumerateKey,SetEndOfFile,NtCreateKey,GetFileSize,IsDebuggerPresent,GetFileType,CreateProcessInternalW,CryptExportKey,RtlAddVectoredContinueHandler,SetFilePointer,GetFileAttributesExW,NtOpenKeyEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52cfac95d2090989011bfab453911713177539c925f83704657b12a8d7e4e240,0,LdrUnloadDll,NtQueryKey,GetNativeSystemInfo,GetSystemInfo,GetSystemWindowsDirectoryW,NtClose,NtMapViewOfSection,NtAllocateVirtualMemory,LdrGetDllHandle,GetSystemDirectoryW,SetUnhandledExceptionFilter,NtCreateFile,GetSystemTimeAsFileTime,NtCreateMutant,NtCreateSection,LoadStringW,NtOpenKey,LdrGetProcedureAddress,GetFileType,NtOpenKeyEx,LdrLoadDll,NtTerminateProcess,WriteConsoleW,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231fd04cbe983d7db323e179297edb7d9698bb70701d72fad36a7a5195086e0f,0,LdrUnloadDll,NtOpenSection,CoUninitialize,RegCloseKey,DrawTextExW,FindResourceW,GetSystemWindowsDirectoryW,NtClose,GetForegroundWindow,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetSystemMetrics,SizeofResource,CreateActCtxW,RegOpenKeyExW,SetErrorMode,NtAllocateVirtualMemory,RegOpenKeyExA,LdrGetDllHandle,GetKeyState,GetCursorPos,NtOpenFile,SHGetFolderPathW,GetSystemDirectoryW,CoCreateInstance,NtUnmapViewOfSection,LoadStringW,FindResourceExW,NtCreateFile,FindWindowW,NtCreateMutant,CoInitializeEx,NtCreateSection,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,LdrLoadDll,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938c02c2c682b542788f0d94abab2fa7d80d00e1b8a55e19bee49af31ab10d9f,0,NtQueryValueKey,LdrUnloadDll,CoUninitialize,GetSystemTimeAsFileTime,NtOpenKey,SetUnhandledExceptionFilter,NtTerminateProcess,NtClose,NtAllocateVirtualMemory,LdrGetDllHandle,NtFreeVirtualMemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a1ccee35e0a42c9f95b55cf60685b8ce6756a08a90eb0042528f683f4ee1bdf,0,LdrUnloadDll,NtOpenSection,RegCloseKey,GetNativeSystemInfo,DrawTextExW,RegQueryValueExA,FindResourceW,WSAStartup,IsDebuggerPresent,GetSystemWindowsDirectoryW,NtClose,NtOpenProcess,GetForegroundWindow,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetSystemMetrics,FindFirstFileExW,SizeofResource,CreateActCtxW,RegOpenKeyExW,NtDuplicateObject,SetErrorMode,NtAllocateVirtualMemory,RegOpenKeyExA,NtFreeVirtualMemory,GetKeyState,GetCursorPos,NtQuerySystemInformation,NtOpenFile,CreateThread,GetSystemDirectoryW,NtUnmapViewOfSection,LoadStringW,FindResourceExW,NtCreateFile,GetSystemTimeAsFileTime,GlobalMemoryStatusEx,FindWindowW,NtCreateMutant,NtProtectVirtualMemory,CoInitializeEx,LdrGetDllHandle,NtOpenKey,NtOpenMutant,LoadResource,LdrGetProcedureAddress,LdrLoadDll,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6fd866f390d561436121ec35f114a805ecb711e754636dde3d039b825b9a85a1,0,GetNativeSystemInfo,NtOpenSection,CoUninitialize,RegCloseKey,NtQueryKey,NtReadFile,LdrUnloadDll,DrawTextExW,GetSystemInfo,GetFileVersionInfoSizeW,RemoveDirectoryW,FindResourceW,WSAStartup,LookupAccountSidW,NtClose,FindResourceExW,NtOpenProcess,GetFileAttributesW,RegQueryValueExW,NtMapViewOfSection,GetVolumePathNamesForVolumeNameW,RegEnumKeyW,GetSystemMetrics,SetUnhandledExceptionFilter,SizeofResource,CreateActCtxW,RegOpenKeyExW,NtDuplicateObject,SetErrorMode,NtAllocateVirtualMemory,CreateDirectoryW,DeleteFileW,LdrGetDllHandle,NtFreeVirtualMemory,GetCursorPos,NtQuerySystemInformation,NtSetValueKey,NtResumeThread,NtOpenFile,GetFileSizeEx,CreateThread,GetSystemDirectoryW,RegQueryInfoKeyW,CoCreateInstance,NtUnmapViewOfSection,NtQueryDirectoryFile,RegEnumKeyExW,LoadStringW,GetTempPathW,NtCreateFile,GetVolumeNameForVolumeMountPointW,GetSystemTimeAsFileTime,NtQueryAttributesFile,NtCreateMutant,NtProtectVirtualMemory,CoInitializeEx,GetFileInformationByHandleEx,NtCreateSection,GetKeyboardState,GetTimeZoneInformation,NtOpenKey,LoadResource,LdrGetProcedureAddress,NtOpenThread,SetWindowsHookExW,GetFileVersionInfoW,SHGetSpecialFolderLocation,NtOpenKeyEx,LdrLoadDll,GetSystemWindowsDirectoryW,OleInitialize,FindResourceA,NtQueryInformationFile,NtQueryValueKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
